idx	label	sentence1	sentence2	lexical-semantics	predicate-argument-structure	logic	knowledge
0	not_entailment	The cat sat on the mat.	The cat did not sit on the mat.			Negation	
1	not_entailment	The cat did not sit on the mat.	The cat sat on the mat.			Negation	
2	not_entailment	"When you've got no snow, it's really hard to learn a snow sport so we looked at all the different ways I could mimic being on snow without actually being on snow."	"When you've got snow, it's really hard to learn a snow sport so we looked at all the different ways I could mimic being on snow without actually being on snow."			Negation	
3	not_entailment	"When you've got snow, it's really hard to learn a snow sport so we looked at all the different ways I could mimic being on snow without actually being on snow."	"When you've got no snow, it's really hard to learn a snow sport so we looked at all the different ways I could mimic being on snow without actually being on snow."			Negation	
4	not_entailment	"Out of the box, Ouya supports media apps such as Twitch.tv and XBMC media player."	"Out of the box, Ouya doesn't support media apps such as Twitch.tv and XBMC media player."			Negation	
5	not_entailment	"Out of the box, Ouya doesn't support media apps such as Twitch.tv and XBMC media player."	"Out of the box, Ouya supports media apps such as Twitch.tv and XBMC media player."			Negation	
6	entailment	"Out of the box, Ouya supports media apps such as Twitch.tv and XBMC media player."	"Out of the box, Ouya supports Twitch.tv and XBMC media player."		Anaphora/Coreference		
7	entailment	"Out of the box, Ouya supports Twitch.tv and XBMC media player."	"Out of the box, Ouya supports media apps such as Twitch.tv and XBMC media player."		Anaphora/Coreference		
8	not_entailment	"Considering this definition, it is surprising to find frequent use of sarcastic language in opinionated user generated content."	"Considering this definition, it is not surprising to find frequent use of sarcastic language in opinionated user generated content."			Negation	
9	not_entailment	"Considering this definition, it is not surprising to find frequent use of sarcastic language in opinionated user generated content."	"Considering this definition, it is surprising to find frequent use of sarcastic language in opinionated user generated content."			Negation	
10	not_entailment	The new gaming console is affordable.	The new gaming console is unaffordable.	Morphological negation		Negation	
11	not_entailment	The new gaming console is unaffordable.	The new gaming console is affordable.	Morphological negation		Negation	
12	not_entailment	"Brexit is an irreversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week."	"Brexit is a reversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week."	Morphological negation		Negation	
13	not_entailment	"Brexit is a reversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week."	"Brexit is an irreversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week."	Morphological negation		Negation	
14	not_entailment	We built our society on unclean energy.	We built our society on clean energy.	Morphological negation		Negation	
15	not_entailment	We built our society on clean energy.	We built our society on unclean energy.	Morphological negation		Negation	
16	not_entailment	"Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities."	"Pursuing a strategy of violent protest, Gandhi took the administration by surprise and won concessions from the authorities."	Morphological negation		Negation	
17	not_entailment	"Pursuing a strategy of violent protest, Gandhi took the administration by surprise and won concessions from the authorities."	"Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities."	Morphological negation		Negation	
18	entailment	"Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities."	"Pursuing a strategy of protest, Gandhi took the administration by surprise and won concessions from the authorities."		Intersectivity		
19	not_entailment	"Pursuing a strategy of protest, Gandhi took the administration by surprise and won concessions from the authorities."	"Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities."		Intersectivity		
20	not_entailment	"And if both apply, they are essentially impossible."	"And if both apply, they are essentially possible."	Morphological negation		Negation;Conditionals	
21	not_entailment	"And if both apply, they are essentially possible."	"And if both apply, they are essentially impossible."	Morphological negation		Negation;Conditionals	
22	entailment	Writing Java is not too different from programming with handcuffs.	Writing Java is similar to programming with handcuffs.	Morphological negation		Double negation	
23	entailment	Writing Java is similar to programming with handcuffs.	Writing Java is not too different from programming with handcuffs.	Morphological negation		Double negation	
24	entailment	"The market is about to get harder, but not impossible to navigate."	"The market is about to get harder, but possible to navigate."	Morphological negation		Double negation	
25	entailment	"The market is about to get harder, but possible to navigate."	"The market is about to get harder, but not impossible to navigate."	Morphological negation		Double negation	
26	entailment	"Even after now finding out that it's animal feed, I won't ever stop being addicted to Flamin' Hot Cheetos."	"Even after now finding out that it's animal feed, I will never stop being addicted to Flamin' Hot Cheetos."	Morphological negation		Double negation	
27	entailment	"Even after now finding out that it's animal feed, I will never stop being addicted to Flamin' Hot Cheetos."	"Even after now finding out that it's animal feed, I won't ever stop being addicted to Flamin' Hot Cheetos."	Morphological negation		Double negation	
28	entailment	"He did not disagree with the party's position, but felt that if he resigned, his popularity with Indians would cease to stifle the party's membership."	"He agreed with the party's position, but felt that if he resigned, his popularity with Indians would cease to stifle the party's membership."	Morphological negation		Double negation	
29	entailment	"He agreed with the party's position, but felt that if he resigned, his popularity with Indians would cease to stifle the party's membership."	"He did not disagree with the party's position, but felt that if he resigned, his popularity with Indians would cease to stifle the party's membership."	Morphological negation		Double negation	
30	entailment	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected."	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would not be unexpected."	Morphological negation		Double negation	
31	entailment	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would not be unexpected."	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected."	Morphological negation		Double negation	
32	entailment	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected."	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, it would be expected to negatively impact the pipeline results."		Nominalization		
33	entailment	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, it would be expected to negatively impact the pipeline results."	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected."		Nominalization		
34	entailment	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected."	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, it would not be unexpected for it to negatively impact the pipeline results."	Morphological negation	Nominalization	Double negation	
35	entailment	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, it would not be unexpected for it to negatively impact the pipeline results."	"If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected."	Morphological negation	Nominalization	Double negation	
36	not_entailment	The water is too hot.	The water is too cold.	Lexical entailment			
37	not_entailment	The water is too cold.	The water is too hot.	Lexical entailment			
38	not_entailment	"Falcon Heavy is the largest rocket since NASA's Saturn V booster, which was used for the Moon missions in the 1970s."	"Falcon Heavy is the smallest rocket since NASA's Saturn V booster, which was used for the Moon missions in the 1970s."	Lexical entailment			
39	not_entailment	"Falcon Heavy is the smallest rocket since NASA's Saturn V booster, which was used for the Moon missions in the 1970s."	"Falcon Heavy is the largest rocket since NASA's Saturn V booster, which was used for the Moon missions in the 1970s."	Lexical entailment			
40	not_entailment	"Adenoiditis symptoms often persist for ten or more days, and often include pus-like discharge from nose."	"Adenoiditis symptoms often pass within ten days or less, and often include pus-like discharge from nose."	Lexical entailment			
41	not_entailment	"Adenoiditis symptoms often pass within ten days or less, and often include pus-like discharge from nose."	"Adenoiditis symptoms often persist for ten or more days, and often include pus-like discharge from nose."	Lexical entailment			
42	not_entailment	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite difficult to see the exaggerated positive sentiment used in order to convey strong negative feelings.	Lexical entailment			
